Topic,Count,Name,CustomName,Representation,OpenAI,Representative_Docs
35,1441,35_polizeibeauftragten_polizeibeauftragte_bundespolizisten_bundespolizei,Polizeiwesen und Polizeibeauftragte,"['polizeibeauftragten', 'polizeibeauftragte', 'bundespolizisten', 'bundespolizei', 'polizeibeamte', 'polizei', 'polizeibeamtinnen', 'polizeien', 'polizeibeamten', 'polizisten']",['Stärkung der Bundespolizei und Polizeibeauftragter'],"['In der heutigen Debatte haben wir ja immer wieder diesen Vorwurf gehört, der Beauftragte sei nur deshalb da, weil die Ampel den Polizistinnen und Polizisten misstrauen würde. Genau das Gegenteil ist doch der Fall, und das machen doch sowohl die Ministerin als auch die Abgeordneten der Ampel hier an dieser Stelle immer wieder deutlich. Deshalb ist ja der Beauftragte keine reine Beschwerdestelle über die Polizei, sondern der Beauftragte wird auch eine Beschwerde- und Anlaufstelle für die Polizistinnen und Polizisten in diesem Land.', 'Heute gehen wir diesen wichtigen Schritt für die Polizistinnen und Polizisten der Polizeien des Bundes und für die Bürgerinnen und Bürger in unserem Land.', 'Lassen Sie es mich an dieser Stelle ganz klar sagen: Unsere Polizei ist die beste Polizei der Welt. Ich würde sie gegen keine Polizei irgendeines anderen Landes tauschen wollen.']"
36,1439,36_berufsbildung_berufsbildungsgesetz_berufsausbildung_berufsbildungsbericht,Berufliche Bildung und Ausbildungspolitik,"['berufsbildung', 'berufsbildungsgesetz', 'berufsausbildung', 'berufsbildungsbericht', 'berufsschulen', 'berufsorientierung', 'weiterbildung', 'bildung', 'ausbildungsgarantie', 'ausbildungsplätze']",['Berufliche Bildung und Ausbildungsförderung'],"['Berufliche Bildung: Sie behaupten, das sei Ihr Herzensthema. Auch hier ist nicht allzu viel passiert. Auch hier haben wir Ihnen Anträge in der Bereinigungssitzung bzw. in der ersten Runde vorgelegt, dass Sie mehr Geld für berufliche Bildung, für Exzellenz in der beruflichen Bildung zur Verfügung stellen. Auch hier leider Fehlanzeige.', 'Aber kann berufliche Bildung wieder gleichziehen mit dem Studium?', 'Nein, übertragen auf die berufliche Bildung. Es gab ja auch schon die Frage zur Standardisierung und zur He\xadraufsetzung der beruflichen Qualität. Ich meine die Negativerfahrung, übertragen auf die berufliche Bildung.']"
37,1428,37_mali_malis_bundeswehr_malischen,Bundeswehreinsatz in Mali,"['mali', 'malis', 'bundeswehr', 'malischen', 'streitkräfte', 'malische', 'ausbildungsmission', 'truppen', 'soldaten', 'bundesregierung']",['Bundeswehreinsatz in Mali'],"['Nun erfolgt der nächste Schritt. Das Mandat für EUTM Mali läuft dieses Jahr aus und wird nicht mehr verlängert. Stattdessen legt uns die Bundesregierung auf Wunsch dieses Hauses ein neues Mandat zur Beteiligung der Bundeswehr an der EU-Partnerschaftsmission für den Kapazitätsaufbau der nigrischen Streitkräfte vor\xa0– voilà: EUMPM Niger. Damit führt die Bundesregierung das aus, was der Bundestag ihr aufgetragen hat, nämlich die Verlagerung des deutschen militärischen Engagements von Mali nach Niger. Ein weiterer Schritt auf diesem Weg ist dann der geordnete Abzug der Bundeswehr aus der UN-Mission MINUSMA in Mali bis Mai\xa02024. Die Fehler des Abzugs aus Afghanistan wollen wir nicht wiederholen.', 'Frau Präsidentin! Liebe Kolleginnen und Kollegen! An keiner anderen Stelle weltweit ist die Bundeswehr aktuell so stark engagiert wie in Mali. Bei MINUSMA und der Ausbildungsmission EUTM Mali sind insgesamt 1\xa0130\xa0Soldatinnen und Soldaten im Einsatz. Das ist aktuell fast ein Drittel der Soldatinnen und Soldaten in Auslandseinsätzen.', 'Weil wir wissen, dass EUTM Mali explizit ein Ausbildungsmandat ist und dass die Ausbildung in Mali aus verschiedenen Gründen im Moment kaum stattfindet, müssen wir Anpassungen des Mandats ernsthaft prüfen. Es ist nicht auszuschließen, dass die Mission zum Beispiel künftig „EUTM Sahel außer Mali“ heißen könnte.']"
38,1346,38_rundfunkanstalten_rundfunk_rundfunks_medienpolitik,Öffentlich-rechtlicher Rundfunk und Meinungsfreiheit,"['rundfunkanstalten', 'rundfunk', 'rundfunks', 'medienpolitik', 'zdf', 'medienlandschaft', 'medien', 'meinungsfreiheit', 'pressefreiheit', 'öffentlich']",['Öffentlich-rechtlicher Rundfunk und Medienpolitik'],"['Was man zum öffentlich-rechtlichen Rundfunk auch sagen muss: Er scheint ja sehr gut zu funktionieren; das zeigt die Debatte hier. Lieber Herr Renner, Sie haben sich vorhin so köstlich darüber beschwert, dass Sie durch die Medien angeblich diskreditiert würden. Sie haben gesagt: Der öffentlich-rechtliche Rundfunk ist ein Vasall der Regierung.', 'Zum ersten Punkt. Unsere Haltung zum öffentlich-rechtlichen Rundfunk ist klar. Wir sind unserer Verfassung verpflichtet. Artikel\xa05 Absatz\xa01 Grundgesetz verlangt, dass eine freie und umfassende Meinungsbildung möglich sein muss. Dazu leistet der öffentlich-rechtliche Rundfunk einen unverzichtbaren Beitrag.', 'Ihnen geht es doch letztendlich nur darum, wie der Kollege der FDP schon ausgeführt hat, über das Vehikel des Steuerrechts Ihre Kritik am öffentlich-rechtlichen Rundfunk loszuwerden. Sie haben in Ihrem Grundsatzprogramm ja deutlich gemacht, dass Sie den öffentlich-rechtlichen Rundfunk abschaffen und privatisieren wollen.']"
39,1343,39_afghanistan_afghanen_afghanistans_afghanische,Afghanistan-Einsatz und humanitäre Lage,"['afghanistan', 'afghanen', 'afghanistans', 'afghanische', 'afghanischen', 'afghaninnen', 'kabul', 'taliban', 'bundeswehr', 'soldatinnen']",['Afghanistan-Einsatz und Folgen'],"['Vor nicht einmal einem halben Jahr stand ich hier vor Ihnen und habe von der Begegnung mit Shajillah Hadeed in der afghanischen Provinz Balch erzählt. Ich habe gesagt: Die Menschen in Afghanistan\xa0– sie zählen auf uns.\xa0– Seither hat sich alles in Afghanistan geändert: Die Taliban haben das Land erneut unterworfen. Die afghanische Regierung hat das Weite gesucht. Die internationale Gemeinschaft bringt Staatsbürgerinnen, Staatsbürger und Unterstützungskräfte in Sicherheit. Und für 40\xa0Millionen Menschen in Afghanistan beginnen wieder Jahre der Dunkelheit.', 'Wir haben hier 20\xa0Jahre lang über die Einsätze der Bundeswehr entschieden und über den Sinn dieser Einsätze diskutiert. Ich muss sagen: Der Sinn der Bundeswehreinsätze in Afghanistan über 20\xa0Jahre ist jetzt auf dramatische Weise klar geworden. Ob die Bundeswehr in Afghanistan ist oder nicht, ob die NATO in Afghanistan ist oder nicht, das macht exakt den Unterschied aus zwischen einem relativ freien und sicheren Leben der Afghanen in Afghanistan oder der Herrschaft der Taliban, meine Damen und Herren. Das ist der Unterschied, den die Bundeswehr und die NATO ausgemacht haben.', '„Nichts ist gut in Afghanistan“, liebe Kolleginnen und Kollegen!']"
40,1304,40_bildungspolitik_bildungsföderalismus_bildungsministerin_schulen,Bildungsföderalismus und Kooperation,"['bildungspolitik', 'bildungsföderalismus', 'bildungsministerin', 'schulen', 'bildungsrat', 'lehrermangel', 'schule', 'lehrkräften', 'bildungssystem', 'bildungsbereich']",['Bildungskooperation und Föderalismus'],"['Bildung ist und bleibt aus meiner Sicht Ländersache. Bildung ist die entscheidende Währung für Deutschlands Zukunft. Damit wir mit Zuversicht hier weiterarbeiten können, sage ich: Kümmern Sie sich um diesen Digitalpakt! Die Schülerinnen und Schüler und auch die Pädagoginnen und Pädagogen in den Schulen werden es Ihnen danken.', 'Mit der neuen Initiative „Schule macht stark"" unterstützen Bund und Länder diese Schulen in den nächsten zehn Jahren gemeinsam mit 125\xa0Millionen Euro. Wir machen die Schulen stark, damit sie unsere Kinder und Jugendlichen stärken.', 'Bund und Länder müssen sich bei der Ausbildung der Lehrkräfte tatsächlich enger koordinieren. Auch da tun wir als Bund, was wir können. Wir wollen uns da auch gar nicht wegducken. Wir machen das über das Bundesprogramm, und wir machen das über Zentren. Aber natürlich müssen wir am Ende wissen, wie viele Studierende aktuell in welchen Fächern studieren und wie viele angehende Lehrkräfte pro Semester ihre Ausbildung beenden. Gerade die Hochschulen müssen wir länderübergreifend in die Pflicht nehmen, mehr Lehrkräfte auszubilden. Und da würde es bestimmt helfen, wenn wir uns auf KMK-Ebene noch über einen sehr konkreten Staatsvertrag einigen könnten. Eins ist klar, und das ist auch mein Appell an die Länder: Beendet das Headhunting um die Lehrerinnen und Lehrer! Werbt euch nicht gegenseitig Lehrerinnen und Lehrer ab,']"
41,1304,41_kita_kitas_kindertagesbetreuung_kinderbetreuung,Bildungs- und Betreuungspolitik für Kinder,"['kita', 'kitas', 'kindertagesbetreuung', 'kinderbetreuung', 'qualitätsgesetz', 'ganztagsbetreuung', 'erzieherinnen', 'bildung', 'kindern', 'kinder']",['KiTa-Qualitätsgesetz und Ganztagsbetreuung'],"['Sie haben mit Ihrem Koalitionsvertrag den Eindruck erweckt, dass die Sprach-Kitas weiterlaufen. Wir haben uns als Familienpolitiker in all den Jahren dafür eingesetzt, dass die Sprach-Kitas zusätzlich zum Gute-KiTa-Gesetz weiterlaufen. Sie haben genau das versprochen,', 'Es ist ein Linke-Tasche-rechte-Tasche-Spiel, indem Sie es bei den 2\xa0Milliarden Euro vom KiTa-Qualitätsgesetz, Gute-KiTa-Gesetz wegnehmen und diese für\r\n                    die Sprach-Kitas sozusagen zweckgebunden einsetzen.', 'Es ist wichtig, dass über das Gute-Kita-Gesetz auch Gebührenfreiheit ermöglicht wird.']"
42,1302,42_sportpolitik_sports_sport_sportvereinen,Sportförderung und -politik,"['sportpolitik', 'sports', 'sport', 'sportvereinen', 'sportausschuss', 'sportvereine', 'sportgroßveranstaltungen', 'sportstätten', 'vereinen', 'olympics']",['Sportförderung und -politik'],"['Wir investieren in den Sport. Wir bringen jetzt unter anderem das Zentrum für Safe Sport auf den Weg. Das ist ein richtiges Zeichen gegen sexualisierte Gewalt im Sport. Dass es wichtig ist, zeigen die Vorfälle im Deutschen Schwimm-Verband. Es ist dringend notwendig, dass wir hier etwas machen.', 'Sport, liebe Kolleginnen und Kollegen, ist mehr als Bewegung und Begeisterung. Sport ist Gesundheit, Vorbild und nicht zuletzt gesellschaftliche Klammer; hier finden Menschen mit den unterschiedlichsten Lebenshintergründen zusammen.', 'Liebe Kolleginnen und Kollegen, Sport ist nicht gleich Sport. Ich habe eine ganz herzliche Bitte: Nehmen Sie nicht den Fußball als Maßstab für die Lebenswirklichkeit von Athletinnen und Athleten!']"
43,1300,43_kosovo_balkans_balkan_bosnien,Kosovo-Mission und Westbalkan-Stabilität,"['kosovo', 'balkans', 'balkan', 'bosnien', 'herzegowina', 'jugoslawien', 'kosovos', 'kosovarischen', 'westbalkans', 'westbalkan']",['Kosovo und westlicher Balkan'],"['Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und Kollegen! Am Ende letzten Jahres waren die Nachrichten, die uns aus Serbien und aus dem Kosovo erreichten, besorgniserregend, ja dramatisch: tagelange Straßenblockaden im Norden des Kosovo, geschlossene Grenzübergänge zwischen der Republik Kosovo und Serbien, Spekulationen über den Einsatz von Waffen, manche sprachen und schrieben von einem drohenden Krieg. Während die serbische Armee in höchster Alarmbereitschaft war, verlangte der kosovarische Premierminister Albin Kurti eine größere Präsenz von NATO-Truppen vor Ort. Der letzte Jahreswechsel hat uns gezeigt, weshalb die Beteiligung deutscher Streitkräfte an der internationalen Sicherheitspräsenz im Kosovo, KFOR, auch mehr als 20\xa0Jahre nach dem Ende des Kosovokrieges notwendig ist. Die drohende Eskalationsspirale konnte durchbrochen werden. Doch ist die Gefahr von Konflikten und Auseinandersetzungen nicht gebannt.', 'Das Kosovo beweist: Fortschritt ist möglich. Der KFOR-Einsatz war die Grundlage für den Fortschritt. Und das Kosovo zeigt auch: Nachhaltigkeit beim Aufbau einer friedlichen Zukunft in Demokratie, Wohlstand und Rechtsstaatlichkeit erwächst nicht aus dem Einsatz von Militär. Die Arbeit ist längst noch nicht getan. Wirklich am Ziel sind wir erst, wenn wir Serbien und Montenegro, Bosnien-Herzegowina und Nordmazedonien, Albanien und natürlich das Kosovo guten Gewissens in die Europäische Union integrieren können. Bis dahin ist es noch ein weiter Weg. Aber der Blick auf die gemeisterte Wegstrecke zeigt: Nichts ist unmöglich. Am Ende dieses Weges steht ein befriedeter Balkan.', 'dass im Kosovo, auch mit KFOR, die Stabilität wächst.']"
44,1289,44_bundesregierung_regierung_ministerin_minister,Regierungskritik und Regierungsforderung,"['bundesregierung', 'regierung', 'ministerin', 'minister', 'bund', 'müssen', 'muss', 'denn', 'macht', 'frage']",['Kritik und Forderungen an Bundesregierung'],"['Wir fordern die Bundesregierung auf: Handeln Sie hier!', 'Also: Was muss, was kann die Bundesregierung tun?', 'Ich frage mich: Welche Bundesregierung meinen Sie?']"
45,1265,45_entwicklungszusammenarbeit_entwicklungspolitik_entwicklungshilfe_entwicklungsländern,Entwicklungszusammenarbeit und humanitäre Hilfe,"['entwicklungszusammenarbeit', 'entwicklungspolitik', 'entwicklungshilfe', 'entwicklungsländern', 'humanitäre', 'humanitären', 'krisenprävention', 'projekte', 'zusammenarbeit', 'entwicklung']",['Entwicklungszusammenarbeit und humanitäre Hilfe'],"['Wir werden auch unsere Ausgaben in den Bereichen Entwicklungszusammenarbeit, Humanitäre Hilfe und zivile Krisenprävention deutlich erhöhen. Die Erreichung der ODA-Quote von 0,7\xa0Prozent ist unser Ziel.', 'Aber humanitäre Hilfe, das ist nicht das Überweisen weiterer Entwicklungshilfemilliarden. Humanitäre Hilfe ist auch nicht das Absaugen des deutschen Volksvermögens', 'Wir haben jetzt den sechsten Haushalt in Folge, in dem wir mindestens 1\xa0Milliarde Euro mehr für Entwicklungszusammenarbeit und humanitäre Hilfe zur Verfügung stellen. Wir hatten schon im März\xa02015 die Eckpunkte mit dem ersten großen Wurf, noch vor der Flüchtlingskrise. Das möchte ich auch mal sagen, weil manchmal so getan wird, als hätten wir nur auf Krisen reagiert. Nein, seit sechs Jahren haben wir über 1\xa0Milliarde Euro pro Jahr mehr Mittel für humanitäre Hilfe und Entwicklungszusammenarbeit.']"
46,1254,46_kulturpolitik_kulturförderung_kulturstaatsministerin_kultur,Kulturpolitik und Kulturförderung,"['kulturpolitik', 'kulturförderung', 'kulturstaatsministerin', 'kultur', 'kulturbereich', 'kultureinrichtungen', 'kulturschaffenden', 'kulturelle', 'kulturellen', 'bildungspolitik']",['Kulturpolitik und Kunstförderung'],"['Kultur ist etwas, das Menschen schaffen, wozu man Räume braucht, die hergestellt werden müssen, wozu es Paradigmen braucht, an denen man sich entlanghangelt. Nein, Kultur kann sich nicht selbst schaffen. Kultur kann man bewahren, Kultur kann man befördern, und Kultur muss vor allem im ländlichen Raum so befördert werden, dass sie der Forderung nach gleichwertigen Lebensverhältnissen auch genügen kann. Das ist der Inhalt dieses Antrags, nicht mehr und nicht weniger.', 'Unsere Kulturstaatsministerin Claudia Roth\xa0– ich grüße sie ganz herzlich\xa0– spricht davon, parteiisch sein zu wollen: parteiisch für die Kunst und Kultur. Das ist Programm! Das zeigt klipp und klar, wo die Bundeskulturpolitik künftig steht: an der Seite derjenigen, die Kunst und Kultur in unserem Land lebendig machen, im Dialog mit ihnen, im Bewusstsein, wie wertvoll sie für unsere Gesellschaft sind. Darum wollen wir Kunst und Kultur als Staatsziel im Grundgesetz verankern. Darum werden wir die klassische Förderung von Kultureinrichtungen voranbringen, aber auch die der freien Szene. Unabhängigkeit und Freiheit der Kunst ist unsere Agenda.', 'Denn Kultur ist nicht nur „nice to have“. Kultur speichert Wissen. Kultur ist wichtig für die Identitätsbildung. Kultur ist der Diskussions- und Resonanzraum einer Gesellschaft.']"
47,1225,47_wirtschaftswachstum_wirtschaftspolitik_wirtschaft_bundesregierung,Wirtschaftspolitik und Rezession,"['wirtschaftswachstum', 'wirtschaftspolitik', 'wirtschaft', 'bundesregierung', 'marktwirtschaft', 'deutschland', 'wirtschaftliche', 'wirtschaftlichen', 'wirtschaftsstandort', 'wirtschaftsleistung']",['Rezession und Wirtschaftspolitik'],"['Jetzt haben Sie hier versucht, Herr Bundesminister, letztlich alles mit externen Krisen zu erklären. Alles, was in der Wirtschaftspolitik schiefläuft, falsch läuft\xa0– die Rezession, das mangelnde Wachstum\xa0–, haben Sie auf externe Krisen geschoben. Jetzt muss ich Ihnen aber sagen: Die Rezession ist keine weltweite; sie ist auch keine europäische. Sie ist schlichtweg eine deutsche: Deutschland ist das Schlusslicht in Europa. Alle unsere Nachbarn haben die gleichen Krisen, aber ein größeres Wachstum. Entscheidend ist Ihre Verantwortung und nicht die Weltkrise.', 'und sehen Sie, wie die deutsche Wirtschaft reagiert, wie sie abschmiert, und kümmern Sie sich endlich um das Rückgrat in diesem Land, um die deutsche Wirtschaft.', 'Verehrte Frau Präsidentin! Geschätzte Kolleginnen und Kollegen! Die deutsche Wirtschaft, unsere Wirtschaft, ist in einer wirklich ernsten und schwierigen Lage. Wir hatten zwölf Jahre in Folge Aufschwung und Wachstum fast jedes Jahr, unterbrochen nur von dem Coronajahr 2020. Jetzt haben wir erstmals seit dieser Zeit wirtschaftlichen Rückgang in Deutschland.']"
48,1220,48_koalitionspartner_koalitionsvertrag_koalition_koalitionsvertrages,Koalitionsvertrag und Koalitionsarbeit,"['koalitionspartner', 'koalitionsvertrag', 'koalition', 'koalitionsvertrages', 'koalitionsverhandlungen', 'koalitionsfraktionen', 'vereinbart', 'koalitionsausschuss', 'gemeinsam', 'unserem']",['Koalitionsvertrag und -verhandlungen'],"['– meine Damen und Herren von dieser Koalition\xa0–', 'Die Sache ist: Sie als regierungsstellende Koalition', 'Das ist im Prinzip auch das, was wir im Koalitionsvertrag vereinbart hatten.']"
49,1195,49_krankenhausfinanzierung_krankenhausreform_krankenhäuser_krankenhäusern,Krankenhausfinanzierung und -reform,"['krankenhausfinanzierung', 'krankenhausreform', 'krankenhäuser', 'krankenhäusern', 'krankenhaus', 'kliniken', 'krankenkassen', 'krankenhauslandschaft', 'versorgungszentren', 'versorgung']",['Reform und Finanzierung der Krankenhäuser'],"['In diesem Gesetz, liebe Kolleginnen und Kollegen, steckt auch eine Regelung für die coronabedingten Einnahmeausfälle der Krankenhäuser. Auf Grundlage der Erlöse des Vorjahres können Krankenhäuser mit den Kassen vor Ort über weitere Ausgleichszahlungen verhandeln. Es ist aus unserer Sicht falsch, die Erlöse zur Grundlage dieser Verhandlungen zu machen. Sie stärken damit die Krankenhäuser, die im letzten Jahr Gewinne mit Versichertengeldern gemacht haben. Das ist ein Zukunftsversprechen für wirtschaftlich starke Kliniken, die in der Regel von privaten, auf Profit orientierten Krankenhauskonzernen betrieben werden. Kliniken, die im letzten Jahr Verluste gemacht haben, werden weiter geschwächt, unabhängig davon, wie wichtig sie für die stationäre Versorgung in der Region sind. Diese Regelung muss korrigiert werden.', 'Die Vorredner haben es auch schon gesagt: Neben den 80\xa0Milliarden Euro der Versicherten, die jedes Jahr in die Krankenhäuser fließen, haben wir in der Coronapandemie weit über 20\xa0Milliarden Euro in die Krankenhäuser gesteckt. Wir haben jetzt im Rahmen des Inflationsausgleichs und des Ausgleichs für Gas- und Energiemehrkosten rund 6\xa0Milliarden Euro in die Krankenhäuser gesteckt. Wir werden die Situation der Krankenhäuser auch weiterhin eng beobachten, aber wir tun bereits etwas. Wir arbeiten im Moment mit großer Geschwindigkeit an der Lösung dieser Probleme.', 'Der Bund hat aber nicht nur hier im Krankenhauszukunftsgesetz, sondern auch in anderen Bereichen Schritte unternommen, zum Beispiel um bedarfsnotwendige Kliniken in strukturschwachen Regionen finanziell besser auszustatten. Es gibt einen Bundeszuschuss von 400\u202f000\xa0Euro. Davon profitieren allein 100\xa0Krankenhäuser. Diese Krankenhäuser bekommen das Geld, weil sie bedarfsnotwendig für die Versorgung sind. „Bedarfsnotwendig“ sind sie, weil sie erstens in dünn besiedelten Regionen liegen und zweitens der Weg ins nächste Krankenhaus zu weit wäre. Wir brauchen diese Krankenhäuser, obwohl sie wenige Operationen durchführen, obwohl sie weniger Diagnosen stellen und damit weniger Einnahmen haben, weil gerade viele ambulant tätige Ärzte aus der Fläche verschwinden und wir Gesundheitsversorgung immer sektorenübergreifend ansehen.']"
50,1183,50_219a_abtreibungen_schwangerschaftsabbrüchen_schwangerschaftsabbruch,§219a Strafgesetzbuch und Schwangerschaftsabbrüche,"['219a', 'abtreibungen', 'schwangerschaftsabbrüchen', 'schwangerschaftsabbruch', 'schwangerschaftsabbrüche', 'strafgesetzbuch', 'abtreibung', 'recht', 'verhütungsmittel', 'ungeborenen']",['Abschaffung § 219a StGB'],"['Danke, Frau Präsidentin.\xa0– Frau Justizministerin, Sie sind letztendlich verantwortlich für den §\xa0219a StGB in der jetzigen Fassung. Wie bewerten Sie, dass die Reform des Paragrafen weiterhin dazu führt, dass Ärztinnen verurteilt werden und dass sie in diesem Land dementsprechend kriminalisiert werden, wenn sie über Schwangerschaftsabbrüche informieren? Wir haben jetzt die Situation, dass in Berlin zwei Ärztinnen verurteilt wurden, zwei Ärztinnen in Kassel freigesprochen wurden. Ist das für Sie die Rechtssicherheit, die Ärztinnen in diesem Land brauchen, die Informationen zum Schwangerschaftsabbruch an ungewollt Schwangere geben?', 'Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Wir bringen den Entwurf eines Gesetzes ein, das den §\xa0219a Strafgesetzbuch ersatzlos streicht und damit endlich die sachliche Information über Schwangerschaftsabbrüche durch Ärztinnen und Ärzte entkriminalisiert.', 'Im Übrigen gehören Informationen zu Schwangerschaftsabbrüchen nicht ins Strafrecht. §\xa0219a gehört abgeschafft.']"
51,1160,51_mobilfunkausbau_gigabitstrategie_breitbandausbau_5g,5G-Ausbau und digitale Infrastruktur,"['mobilfunkausbau', 'gigabitstrategie', 'breitbandausbau', '5g', 'mobilfunk', 'bundesnetzagentur', 'infrastruktur', 'gigabit', 'funklöcher', 'breitband']",['5G-Netzausbau und Sicherheit'],"['Dort können sie mit Einfluss auf die Gestaltung der Ausschreibung nehmen. Da sind auch Sie gefordert, sich für den ländlichen Raum einzusetzen. Sie sind gefordert, dazu beizutragen, dass die nächste Versteigerung von Frequenzen zu einem flächendeckenden Ausbau führt. Ich habe den Eindruck, dass die Unionsfraktion sich wesentlich intensiver in die Diskussion darüber einbringt, wie wir durch die Versteigerung der 5G-Frequenzen eine flächendeckende Versorgung, auch in den ländlichen Räumen, erreichen können. Ich kann es nur noch einmal sagen: Alle sind eingeladen, mitzumachen. Jetzt entwerfen wir die Architektur, die dafür sorgen kann, dass wir in den nächsten Jahren eine flächendeckende Versorgung mit 5G haben.', 'Mit der Versteigerung der 5G-Lizenzen verpflichten wir die Netzbetreiber, bis 2022 mindestens 4\xa0000 neue 5G-Masten aufzustellen. Wir haben die Betreiber außerdem verpflichtet, bis Ende 2022 mindestens 98\xa0Prozent der Haushalte mit 100\xa0Mbit pro Sekunde\xa0– also schnellem Internet\xa0– zu versorgen. Auch der Ausbau der Glasfasernetze bis 2025 ermöglicht, die digitale Infrastruktur aufzubauen.', 'Das Gleiche gilt auch für den 5G-Ausbau. Gerade beraten wir bei der Bundesnetzagentur, welche Voraussetzungen für die Versteigerung der Frequenzen gegeben sein müssen. Ich kann sagen, dass das, was die Bundesnetzagentur uns bisher vorgelegt hat, noch nicht dem entspricht, was wir als Politik von dieser Ausschreibung verlangen. Wir wollen damit nicht groß Kasse machen, wir wollen, dass durch die 5G-Frequenzen-Auktion der Ausbau besser wird, das heißt, die weißen Flecken müssen geschlossen werden. Wir wollen das Ganze so gestalten, dass von dieser nächsten Mobilfunktechnologie 5G auch möglichst alle profitieren, in erster Linie natürlich die Flächen, wo 5G direkt zur Anwendung kommt, aber mittel- und langfristig eben auch das ganze Land.']"
52,1157,52_mindestlohngesetz_mindestlohns_mindestlohn_mindestlohnes,12 Euro Mindestlohn,"['mindestlohngesetz', 'mindestlohns', 'mindestlohn', 'mindestlohnes', 'mindestlohnerhöhung', 'mindestlohnkommission', 'mindestlöhne', 'tarifautonomie', 'lohn', '12']",['Erhöhung des Mindestlohns'],"['Deswegen jetzt meine Frage: Bei dem derzeitigen Tempo würden wir bis 2037 brauchen, bis der gesetzliche Mindestlohn 12\xa0Euro erreichen wird; das wäre erst in 17\xa0Jahren. Wie konkret wollen Sie schneller zu einem gesetzlichen Mindestlohn von 12\xa0Euro kommen?', 'Meine Damen und Herren, sind wir als Union dagegen, dass der Mindestlohn auf 12\xa0Euro steigt? Nein, wir sind nicht dagegen. Wenn die Mindestlohnkommission vorschlägt, den Mindestlohn auf 12\xa0Euro hochzusetzen, dann ist doch völlig klar, dass nach dem Gesetz, wie wir es bislang beschlossen haben, dann auch der Mindestlohn von uns auf dieser Basis festgelegt werden wird. Da gibt es doch überhaupt kein Vertun.', 'Am Ende noch ein Satz zu Matthias Zimmer und den 12\xa0Euro Mindestlohn: Nein, wir wollen die Mindestlohnkommission nicht abschaffen,']"
53,1134,53_bürokratieabbau_bürokratieentlastung_bürokratie_bürokratieentlastungsgesetz,Bürokratieabbau und Verwaltungsentlastung,"['bürokratieabbau', 'bürokratieentlastung', 'bürokratie', 'bürokratieentlastungsgesetz', 'bürokratiemonster', 'bürokratiekosten', 'bürokratischen', 'bürokratische', 'entbürokratisierung', 'verwaltung']",['Bürokratieabbau und Bürokratieentlastung'],"['Liebe Kolleginnen und Kollegen, wir könnten jetzt noch viel über das reden, was Sie wollen. Umweltauflagen sind für Sie Bürokratie. Ich zitiere aus einer Rede von 2019: Statistiken, Achtung von Menschenrechten, steht da drin, ist für Sie Bürokratie.\xa0– Was heißt das eigentlich? „Achtung von Menschenrechten ist Bürokratie“ würde zum Beispiel bedeuten, dass alle Regelungen, die wir machen, weil Frauen gleichberechtigt sind und es keine Diskriminierung mehr geben soll, für Sie Bürokratie sind. Diese Regelungen sind für Sie Bürokratie. Was sagen denn eigentlich Ihre Frauen dazu? So viele sind heute natürlich nicht da.', 'Auch wir sind aufgefordert, zu schauen, ob man Bürokratie abbauen kann,', 'Aber er muss nicht gefragt werden, weil dies zu viel Bürokratie ist.']"
54,1123,54_tourismusstrategie_tourismuswirtschaft_tourismusbranche_tourismus,Tourismuswirtschaft und -strategie,"['tourismusstrategie', 'tourismuswirtschaft', 'tourismusbranche', 'tourismus', 'reisebranche', 'touristischen', 'reiseveranstalter', 'reisebüros', 'reisen', 'urlaub']",['Tourismusstrategie und Wirtschaftswirkung'],"['Meine Damen und Herren, weil ich hier gerade Paul Lehrieder sehe, möchte ich noch auf den Tourismus eingehen. Der Tourismus ist ein herausragendes, leider häufig auch unterschätztes Wirtschaftsthema, auch bei uns im Hause. Unsere Mitglieder im Ausschuss für Tourismus leisten eine großartige Arbeit, und mit der Deutschen Zentrale für Tourismus, die in der globalen Welt für Urlaub in Deutschland wirbt, schreiben wir eine Erfolgsgeschichte. Hierfür herzlichen Dank!', 'für Tourismus im Einklang mit Umwelt und Klima. Und das ist unser Ziel: den nachhaltigen Tourismus, den Tourismus im ländlichen Raum zu stärken.', 'Liebe Kolleginnen und Kollegen, Sie sehen, wir eröffnen dem Tourismus und den Menschen, die dort arbeiten, echte Zukunftsperspektiven. Menschen machen Tourismus. Für sie alle ist die nationale Tourismusstrategie. Wir, SPD und CDU/CSU, bringen sie auf den Weg. Deshalb, liebe Kolleginnen und Kollegen, ist heute ein richtig guter Tag für den Tourismus.']"
